LogMonth,Namespace,Freq
201705,2,5956
201705,3,2757
201705,4,652
201705,5,103
201705,6,43
201705,7,3
201705,9,8
201705,10,41
201705,11,8
201705,14,22
201705,15,4
201705,100,3
201705,101,1
201705,108,1
201705,118,371
201705,119,11
201704,-1,11010
201704,0,194665
201704,1,780
201704,2,10053
201704,3,6832
201704,4,930
201704,5,175
201704,6,42
201704,7,2
201704,10,144
201704,11,7
201704,12,4
201704,13,3
201704,14,44
201704,100,18
201704,101,2
201704,108,2
201704,118,446
201704,119,17
201703,-1,16348
201703,0,225726
201703,1,1072
201703,2,9260
201703,3,3051
201703,4,826
201703,5,118
201703,6,59
201703,7,7
201703,10,62
201703,11,19
201703,12,11
201703,13,2
201703,14,36
201703,15,9
201703,100,5
201703,101,1
201703,108,1
201703,109,1
201703,118,459
201703,119,8
201702,-1,17637
201702,0,214595
201702,1,968
201702,2,8575
201702,3,3077
201702,4,725
201702,5,70
201702,6,72
201702,7,4
201702,9,1
201702,10,47
201702,11,16
201702,14,21
201702,15,9
201702,100,7
201702,101,1
201702,118,366
201702,119,8
201701,-1,27307
201701,0,214423
201701,1,979
201701,2,9302
201701,3,3385
201701,4,646
201701,5,146
201701,6,83
201701,7,10
201701,9,4
201701,10,118
201701,11,19
201701,12,3
201701,14,29
201701,15,1
201701,100,8
201701,118,451
201701,119,11
201612,-1,24943
201612,0,188946
201612,1,547
201612,2,8149
201612,3,3096
201612,4,351
201612,5,67
201612,6,76
201612,7,6
201612,10,30
201612,11,37
201612,12,1
201612,13,2
201612,14,19
201612,15,3
201612,100,5
201612,101,5
201612,118,392
201612,119,5
201611,-1,26131
201611,0,222022
201611,1,776
201611,2,5848
201611,3,2559
201611,4,495
201611,5,58
201611,6,75
201611,7,9
201611,10,196
201611,11,14
201611,12,1
201611,14,20
201611,15,10
201611,100,11
201611,101,3
201611,118,416
201611,119,11
201610,-1,25667
201610,0,220850
201610,1,1034
201610,2,3178
201610,3,2099
201610,4,458
201610,5,85
201610,6,80
201610,7,48
201610,10,173
201610,11,15
201610,13,1
201610,14,17
201610,15,3
201610,100,11
201610,101,2
201610,108,3
201610,118,341
201610,119,5
201609,-1,24912
201609,0,206234
201609,1,920
201609,2,2823
201609,3,2340
201609,4,439
201609,5,131
201609,6,53
201609,7,16
201609,9,1
201609,10,161
201609,11,16
201609,13,5
201609,14,24
201609,100,5
201609,101,4
201609,118,317
201609,119,4
201609,828,1
201608,-1,22140
201608,0,163800
201608,1,726
201608,2,2878
201608,3,1732
201608,4,451
201608,5,98
201608,6,36
201608,7,10
201608,10,341
201608,11,15
201608,12,3
201608,13,7
201608,14,35
201608,15,8
201608,100,11
201608,101,5
201608,118,377
201608,119,6
201608,828,2
201607,-1,19216
201607,0,145391
201607,1,702
201607,2,2867
201607,3,2110
201607,4,490
201607,5,98
201607,6,60
201607,7,2
201607,9,1
201607,10,201
201607,11,8
201607,12,4
201607,13,4
201607,14,35
201607,100,7
201607,101,1
201607,118,362
201607,119,8
201606,-1,14563
201606,0,177447
201606,1,830
201606,2,3618
201606,3,2729
201606,4,609
201606,5,574
201606,6,45
201606,7,76
201606,10,169
201606,11,672
201606,12,4
201606,13,6
201606,14,30
201606,15,2
201606,100,4
201606,101,1
201606,118,475
201606,119,13
201605,-1,37732
201605,0,243259
201605,1,1041
201605,2,5125
201605,3,3172
201605,4,593
201605,5,725
201605,6,91
201605,7,449
201605,9,11
201605,10,222
201605,11,838
201605,12,4
201605,13,10
201605,14,40
201605,15,11
201605,100,24
201605,101,8
201605,108,5
201605,118,912
201605,119,4
201604,-1,52157
201604,0,246787
201604,1,1025
201604,2,6967
201604,3,4647
201604,4,813
201604,5,2462
201604,6,67
201604,7,458
201604,9,1
201604,10,237
201604,11,2833
201604,12,2
201604,14,54
201604,15,14
201604,100,20
201604,101,2
201604,118,916
201604,119,11
201604,829,1
201603,-1,51835
201603,0,285995
201603,1,1192
201603,2,7909
201603,3,5802
201603,4,679
201603,5,2222
201603,6,58
201603,7,644
201603,9,1
201603,10,204
201603,11,2654
201603,12,8
201603,13,3
201603,14,42
201603,15,20
201603,100,16
201603,101,1
201603,118,1040
201603,119,2
201602,-1,67744
201602,0,282309
201602,1,1271
201602,2,6999
201602,3,2860
201602,4,388
201602,5,1390
201602,6,69
201602,7,377
201602,10,214
201602,11,1966
201602,12,12
201602,13,2
201602,14,39
201602,15,14
201602,100,4
201602,101,4
201602,108,1
201602,118,955
201602,119,19
201601,-1,71929
201601,0,279788
201601,1,1393
201601,2,6883
201601,3,4766
201601,4,470
201601,5,2723
201601,6,79
201601,7,1038
201601,9,2
201601,10,196
201601,11,2602
201601,12,9
201601,13,3
201601,14,53
201601,15,31
201601,100,14
201601,101,4
201601,118,901
201601,119,22
201601,829,1
201512,-1,61383
201512,0,228358
201512,1,1073
201512,2,7172
201512,3,5678
201512,4,611
201512,5,780
201512,6,53
201512,7,235
201512,9,2
201512,10,164
201512,11,587
201512,12,1
201512,13,1
201512,14,53
201512,15,10
201512,100,10
201512,101,1
201512,118,820
201512,119,11
201511,-1,62530
201511,0,260650
201511,1,1231
201511,2,7692
201511,3,2195
201511,4,349
201511,5,1095
201511,6,78
201511,7,450
201511,9,4
201511,10,30
201511,11,861
201511,12,3
201511,14,65
201511,15,8
201511,100,12
201511,101,7
201511,118,867
201511,119,2
201510,-1,8547
201510,0,239956
201510,1,814
201510,2,5235
201510,3,9128
201510,4,522
201510,5,83
201510,6,81
201510,7,15
201510,10,35
201510,11,14
201510,12,1
201510,13,4
201510,14,35
201510,15,9
201510,100,9
201510,101,12
201510,108,1
201510,118,461
201510,119,2
201510,710,1
201510,828,1
201509,-1,6110
201509,0,230615
201509,1,1054
201509,2,5834
201509,3,27797
201509,4,717
201509,5,78
201509,6,88
201509,7,26
201509,10,41
201509,11,25
201509,13,1
201509,14,36
201509,100,9
201509,101,1
201509,118,325
201509,119,5
201509,828,3
201508,-1,13778
201508,0,193228
201508,1,720
201508,2,4858
201508,3,1652
201508,4,196
201508,5,65
201508,6,63
201508,7,22
201508,10,48
201508,11,10
201508,12,3
201508,13,2
201508,14,29
201508,15,2
201508,100,24
201508,101,3
201508,118,491
201508,119,9
201507,-1,5504
201507,0,193980
201507,1,594
201507,2,4218
201507,3,1934
201507,4,190
201507,5,79
201507,6,61
201507,7,12
201507,10,24
201507,11,20
201507,12,1
201507,13,1
201507,14,54
201507,15,7
201507,118,942
201507,119,5
201506,-1,5752
201506,0,223999
201506,1,776
201506,2,3607
201506,3,1958
201506,4,167
201506,5,120
201506,6,72
201506,7,27
201506,10,45
201506,11,27
201506,12,2
201506,13,3
201506,14,46
201506,15,2
201506,100,6
201506,101,2
201506,118,295
201506,119,9
201506,828,1
201505,-1,6437
201505,0,235981
201505,1,919
201505,2,3651
201505,3,1964
201505,4,375
201505,5,108
201505,6,64
201505,7,15
201505,10,72
201505,11,30
201505,14,43
201505,15,1
201505,100,7
201505,101,9
201505,118,331
201505,119,4
201505,829,1
201504,-1,9857
201504,0,183874
201504,1,705
201504,2,4229
201504,3,1884
201504,4,333
201504,5,156
201504,6,79
201504,7,42
201504,10,62
201504,11,12
201504,12,1
201504,13,2
201504,14,56
201504,15,7
201504,100,11
201504,101,3
201504,118,271
201504,119,18
201503,-1,6648
201503,0,173736
201503,1,959
201503,2,4095
201503,3,1887
201503,4,302
201503,5,135
201503,6,87
201503,7,16
201503,10,63
201503,11,16
201503,13,18
201503,14,17
201503,15,9
201503,100,34
201503,101,1
201503,118,270
201503,119,2
201503,447,1
201502,-1,5937
201502,0,148954
201502,1,833
201502,2,4740
201502,3,2038
201502,4,269
201502,5,108
201502,6,93
201502,7,9
201502,10,89
201502,11,15
201502,12,2
201502,13,3
201502,14,31
201502,15,2
201502,100,10
201502,101,5
201502,118,384
201502,119,7
201501,-1,6441
201501,0,147607
201501,1,929
201501,2,4576
201501,3,3082
201501,4,228
201501,5,136
201501,6,65
201501,7,16
201501,10,90
201501,11,35
201501,12,2
201501,14,37
201501,100,13
201501,101,16
201501,118,267
201501,119,6
201501,447,2
201501,710,3
201501,828,1
201412,-1,5565
201412,0,123266
201412,1,780
201412,2,4080
201412,3,2789
201412,4,223
201412,5,119
201412,6,46
201412,7,29
201412,10,66
201412,11,36
201412,13,3
201412,14,31
201412,15,5
201412,100,7
201412,101,9
201412,108,5
201412,118,246
201412,119,7
201412,447,2
201411,-1,5773
201411,0,140202
201411,1,850
201411,2,4021
201411,3,3311
201411,4,203
201411,5,102
201411,6,56
201411,7,7
201411,9,1
201411,10,79
201411,11,31
201411,13,10
201411,14,11
201411,15,6
201411,100,6
201411,101,9
201411,118,245
201411,119,10
201410,-1,5084
201410,0,151209
201410,1,1031
201410,2,4241
201410,3,2925
201410,4,291
201410,5,262
201410,6,83
201410,7,23
201410,8,2
201410,10,106
201410,11,150
201410,13,1
201410,14,21
201410,15,9
201410,100,14
201410,101,5
201410,108,1
201410,118,264
201410,119,8
201410,447,2
201409,-1,4913
201409,0,118665
201409,1,869
201409,2,4100
201409,3,2675
201409,4,320
201409,5,116
201409,6,43
201409,7,13
201409,10,66
201409,11,45
201409,14,28
201409,15,10
201409,100,13
201409,101,2
201409,118,267
201409,119,3
201409,711,2
201408,-1,3996
201408,0,80919
201408,1,671
201408,2,4205
201408,3,2939
201408,4,251
201408,5,142
201408,6,47
201408,7,13
201408,10,74
201408,11,18
201408,12,7
201408,13,4
201408,14,11
201408,15,8
201408,100,6
201408,101,8
201408,108,1
201408,109,2
201408,118,307
201408,119,4
201408,828,3
201407,-1,1487
201407,0,70645
201407,1,557
201407,2,4233
201407,3,3055
201407,4,425
201407,5,174
201407,6,36
201407,7,12
201407,10,69
201407,11,12
201407,13,2
201407,14,12
201407,15,3
201407,100,2
201407,101,3
201407,118,106
201407,447,4
201406,-1,1474
201406,0,84840
201406,1,772
201406,2,4091
201406,3,3055
201406,4,342
201406,5,156
201406,6,51
201406,7,10
201406,10,69
201406,11,16
201406,12,2
201406,14,28
201406,15,2
201406,100,5
201406,101,9
201406,108,1
201406,118,40
201406,119,4
201405,-1,2157
201405,0,121052
201405,1,906
201405,2,4142
201405,3,3508
201405,4,316
201405,5,375
201405,6,86
201405,7,12
201405,10,85
201405,11,10
201405,13,8
201405,14,20
201405,100,36
201405,101,11
201405,118,62
201405,119,1
201405,829,1
201404,-1,1788
201404,0,117571
201404,1,918
201404,2,4342
201404,3,3155
201404,4,347
201404,5,878
201404,6,94
201404,7,23
201404,10,75
201404,11,18
201404,12,2
201404,13,3
201404,14,23
201404,15,8
201404,100,7
201404,101,6
201404,109,2
201403,-1,2378
201403,0,141737
201403,1,1264
201403,2,5344
201403,3,4354
201403,4,605
201403,5,1012
201403,6,139
201403,7,41
201403,9,2
201403,10,76
201403,11,112
201403,12,1
201403,13,4
201403,14,15
201403,15,5
201403,100,10
201403,101,17
201403,118,4
201403,119,1
201403,447,1
201403,828,1
201402,-1,1892
201402,0,134756
201402,1,895
201402,2,3863
201402,3,3141
201402,4,424
201402,5,886
201402,6,101
201402,7,36
201402,10,71
201402,11,52
201402,12,12
201402,13,3
201402,14,29
201402,15,6
201402,100,23
201402,101,8
201401,-1,1620
201401,0,140172
201401,1,981
201401,2,3975
201401,3,3357
201401,4,338
201401,5,1014
201401,6,101
201401,7,34
201401,10,280
201401,11,29
201401,12,36
201401,13,5
201401,14,2
201401,15,3
201401,100,17
201401,118,4
201401,127,2
201312,-1,2156
201312,0,119168
201312,1,851
201312,2,4197
201312,3,2960
201312,4,341
201312,5,1028
201312,6,136
201312,7,30
201312,10,70
201312,11,27
201312,12,17
201312,13,6
201312,14,25
201312,15,7
201312,100,5
201312,101,29
201312,118,1
201311,-1,3110
201311,0,143807
201311,1,925
201311,2,3802
201311,3,2640
201311,4,437
201311,5,1156
201311,6,118
201311,7,38
201311,9,1
201311,10,25
201311,11,48
201311,12,16
201311,13,3
201311,14,45
201311,15,4
201311,100,8
201311,101,11
201311,109,1
201310,-1,3045
201310,0,150514
201310,1,1157
201310,2,3736
201310,3,2711
201310,4,490
201310,5,1106
201310,6,105
201310,7,53
201310,10,34
201310,11,24
201310,12,1
201310,14,28
201310,15,9
201310,100,9
201310,101,6
201310,127,1
201309,-1,2160
201309,0,112786
201309,1,618
201309,2,2956
201309,3,2208
201309,4,279
201309,5,998
201309,6,72
201309,7,52
201309,8,2
201309,9,2
201309,10,20
201309,11,46
201309,12,7
201309,13,1
201309,14,73
201309,15,3
201309,100,15
201309,101,1
201309,127,1
201308,-1,2208
201308,0,107328
201308,1,467
201308,2,2900
201308,3,2433
201308,4,331
201308,5,1075
201308,6,106
201308,7,32
201308,10,26
201308,11,44
201308,12,2
201308,13,9
201308,14,16
201308,15,13
201308,100,17
201308,101,1
201308,108,1
201308,127,1
201307,-1,2237
201307,0,102439
201307,1,518
201307,2,3098
201307,3,2744
201307,4,728
201307,5,1182
201307,6,85
201307,7,33
201307,8,2
201307,10,9
201307,11,21
201307,12,48
201307,14,4
201307,15,6
201307,100,2
201307,101,6
201307,127,1
201306,-1,1108
201306,0,98868
201306,1,620
201306,2,3154
201306,3,2848
201306,4,1038
201306,5,1348
201306,6,106
201306,7,40
201306,10,22
201306,11,32
201306,12,13
201306,13,18
201306,14,30
201306,15,1
201306,100,14
201306,101,4
201305,-1,1239
201305,0,152579
201305,1,875
201305,2,3218
201305,3,3114
201305,4,735
201305,5,1511
201305,6,124
201305,7,67
201305,9,10
201305,10,43
201305,11,62
201305,12,17
201305,13,5
201305,14,25
201305,15,7
201305,100,7
201305,101,4
201305,108,1
201305,127,1
201304,-1,1572
201304,0,136604
201304,1,1051
201304,2,2696
201304,3,2850
201304,4,519
201304,5,940
201304,6,110
201304,7,37
201304,10,27
201304,11,15
201304,12,5
201304,13,2
201304,14,4
201304,15,7
201304,100,14
201304,101,2
201304,127,1
201303,-1,1756
201303,0,147281
201303,1,922
201303,2,2803
201303,3,2232
201303,4,353
201303,5,1108
201303,6,106
201303,7,35
201303,10,28
201303,11,32
201303,12,64
201303,13,1
201303,14,52
201303,15,5
201303,100,17
201303,101,1
201303,127,1
201302,-1,1428
201302,0,187186
201302,1,845
201302,2,2317
201302,3,1516
201302,4,852
201302,5,1031
201302,6,126
201302,7,11
201302,10,449
201302,11,10
201302,12,312
201302,13,1
201302,14,390
201302,15,7
201302,100,24
201302,101,6
201301,-1,235
201301,0,160936
201301,1,871
201301,2,2661
201301,3,2587
201301,4,500
201301,5,1226
201301,6,98
201301,7,56
201301,10,21
201301,11,153
201301,12,240
201301,13,4
201301,14,142
201301,15,9
201301,100,16
201212,-1,23
201212,0,139523
201212,1,891
201212,2,2206
201212,3,2859
201212,4,316
201212,5,1125
201212,6,100
201212,7,23
201212,10,53
201212,11,3
201212,12,100
201212,14,135
201212,15,2
201212,100,12
201212,101,3
201212,127,5
201211,-1,15
201211,0,178114
201211,1,892
201211,2,2678
201211,3,3031
201211,4,462
201211,5,1284
201211,6,71
201211,7,19
201211,10,24
201211,11,9
201211,12,233
201211,13,2
201211,14,139
201211,15,7
201211,100,8
201211,101,3
201210,-1,39
201210,0,194401
201210,1,931
201210,2,3116
201210,3,3553
201210,4,464
201210,5,1161
201210,6,105
201210,7,18
201210,10,31
201210,11,16
201210,12,206
201210,14,144
201210,15,3
201210,100,14
201210,101,2
201209,-1,8
201209,0,152950
201209,1,684
201209,2,1995
201209,3,3062
201209,4,443
201209,5,1072
201209,6,99
201209,7,14
201209,10,27
201209,11,19
201209,12,201
201209,14,131
201209,15,13
201209,100,9
201209,101,4
201209,108,3
201208,-1,15
201208,0,112814
201208,1,683
201208,2,2201
201208,3,4492
201208,4,272
201208,5,1147
201208,6,95
201208,7,35
201208,8,4
201208,9,6
201208,10,465
201208,11,8
201208,12,27
201208,13,1
201208,14,143
201208,15,4
201208,100,5
201208,101,1
201207,-1,24
201207,0,102775
201207,1,637
201207,2,1864
201207,3,3182
201207,4,227
201207,5,1131
201207,6,247
201207,7,17
201207,8,2
201207,9,2
201207,10,656
201207,11,7
201207,12,2
201207,13,1
201207,14,125
201207,15,1
201207,100,4
201207,101,2
201206,-1,881
201206,0,114901
201206,1,711
201206,2,1935
201206,3,2790
201206,4,268
201206,5,1275
201206,6,147
201206,7,21
201206,9,4
201206,10,711
201206,11,11
201206,13,1
201206,14,96
201206,15,2
201206,100,5
201206,101,3
201205,-1,18
201205,0,169374
201205,1,821
201205,2,2120
201205,3,2977
201205,4,275
201205,5,1330
201205,6,116
201205,7,17
201205,10,801
201205,11,5
201205,12,7
201205,14,114
201205,15,8
201205,100,18
201205,101,4
201204,-1,26
201204,0,164501
201204,1,924
201204,2,2137
201204,3,3956
201204,4,315
201204,5,1097
201204,6,157
201204,7,21
201204,10,555
201204,11,18
201204,14,139
201204,15,2
201204,100,4
201204,101,1
201203,-1,177
201203,0,174076
201203,1,1274
201203,2,2150
201203,3,4294
201203,4,310
201203,5,1016
201203,6,157
201203,7,50
201203,10,386
201203,11,17
201203,12,2
201203,13,8
201203,14,135
201203,15,7
201203,100,12
201202,-1,58
201202,0,186083
201202,1,1635
201202,2,1998
201202,3,4861
201202,4,359
201202,5,1306
201202,6,237
201202,7,81
201202,9,1
201202,10,268
201202,11,12
201202,12,5
201202,13,2
201202,14,182
201202,15,9
201202,100,30
201202,101,3
201201,-1,23
201201,0,180307
201201,1,1793
201201,2,2125
201201,3,4312
201201,4,361
201201,5,2599
201201,6,221
201201,7,48
201201,9,4
201201,10,53
201201,11,14
201201,12,6
201201,13,2
201201,14,147
201201,15,11
201201,100,29
201201,101,1
201201,109,1
201112,-1,13
201112,0,166105
201112,1,1384
201112,2,1721
201112,3,4763
201112,4,198
201112,5,747
201112,6,216
201112,7,34
201112,10,53
201112,11,13
201112,12,5
201112,13,6
201112,14,109
201112,15,6
201112,100,18
201112,101,6
201111,-1,42
201111,0,202592
201111,1,1378
201111,2,1606
201111,3,3920
201111,4,304
201111,5,754
201111,6,213
201111,7,23
201111,8,3
201111,9,1
201111,10,70
201111,11,6
201111,12,7
201111,13,2
201111,14,196
201111,15,7
201111,100,45
201111,101,5
201110,-1,19
201110,0,214917
201110,1,1451
201110,2,2168
201110,3,4496
201110,4,190
201110,5,791
201110,6,225
201110,7,40
201110,9,3
201110,10,56
201110,11,15
201110,12,9
201110,13,4
201110,14,151
201110,15,13
201110,100,36
201110,101,2
201109,-1,26
201109,0,162223
201109,1,1505
201109,2,2042
201109,3,4757
201109,4,240
201109,5,565
201109,6,224
201109,7,31
201109,9,9
201109,10,79
201109,11,8
201109,12,15
201109,13,2
201109,14,160
201109,15,11
201109,100,42
201109,101,5
201109,108,1
201108,-1,25
201108,0,124640
201108,1,1319
201108,2,2198
201108,3,4397
201108,4,209
201108,5,611
201108,6,291
201108,7,30
201108,9,1
201108,10,80
201108,11,8
201108,12,7
201108,13,6
201108,14,116
201108,15,3
201108,100,23
201108,101,1
201107,-1,18
201107,0,123057
201107,1,1143
201107,2,2369
201107,3,5254
201107,4,216
201107,5,591
201107,6,237
201107,7,26
201107,10,86
201107,11,14
201107,12,3
201107,13,2
201107,14,136
201107,15,4
201107,100,30
201106,-1,60
201106,0,136800
201106,1,1121
201106,2,2116
201106,3,1996
201106,4,310
201106,5,320
201106,6,348
201106,7,42
201106,9,1
201106,10,260
201106,11,14
201106,12,9
201106,13,3
201106,14,163
201106,15,7
201106,100,43
201106,101,4
201105,-1,65
201105,0,164213
201105,1,2176
201105,2,2319
201105,3,2553
201105,4,430
201105,5,543
201105,6,481
201105,7,52
201105,9,5
201105,10,286
201105,11,45
201105,12,1
201105,14,212
201105,15,16
201105,100,29
201105,101,1
201105,109,4
201104,-1,45
201104,0,153218
201104,1,1233
201104,2,2279
201104,3,2396
201104,4,440
201104,5,335
201104,6,325
201104,7,54
201104,10,83
201104,11,17
201104,12,7
201104,13,11
201104,14,174
201104,15,13
201104,100,50
201104,101,14
201104,108,2
201103,-1,73
201103,0,170693
201103,1,1425
201103,2,1176
201103,3,2592
201103,4,505
201103,5,266
201103,6,341
201103,7,56
201103,9,1
201103,10,115
201103,11,21
201103,12,9
201103,13,2
201103,14,173
201103,15,3
201103,100,71
201103,101,16
201103,108,1
201102,-1,44
201102,0,166526
201102,1,1459
201102,2,888
201102,3,2457
201102,4,493
201102,5,384
201102,6,481
201102,7,73
201102,10,99
201102,11,22
201102,12,8
201102,13,6
201102,14,195
201102,15,13
201102,100,68
201102,101,3
201102,108,1
201102,109,2
201101,-1,25
201101,0,174604
201101,1,1230
201101,2,882
201101,3,2412
201101,4,513
201101,5,105
201101,6,972
201101,7,39
201101,9,1
201101,10,95
201101,11,12
201101,12,5
201101,14,196
201101,15,4
201101,100,29
201101,101,11
201012,-1,25
201012,0,152027
201012,1,979
201012,2,1032
201012,3,2329
201012,4,469
201012,5,113
201012,6,348
201012,7,44
201012,10,94
201012,11,8
201012,12,13
201012,13,1
201012,14,213
201012,15,9
201012,100,30
201012,101,4
201011,-1,42
201011,0,188797
201011,1,1312
201011,2,1018
201011,3,2354
201011,4,847
201011,5,153
201011,6,368
201011,7,43
201011,10,100
201011,11,9
201011,12,12
201011,13,4
201011,14,209
201011,15,6
201011,100,52
201011,101,3
201010,-1,56
201010,0,199335
201010,1,1569
201010,2,1367
201010,3,2761
201010,4,719
201010,5,186
201010,6,336
201010,7,39
201010,9,2
201010,10,86
201010,11,12
